TID Lib Viability Chr HeTA TAHRE blood burdock Gene Synonym mean_col status tag1 tag2 tag3 tag4
102407 KK viable 2 -5.258578811853279 -5.121032129019037 -4.359729891870427 -3.3669669533664557 CG10473 Acn -4.5265769465273 4 1 1 1 1
100497 KK viable 2 -3.7817826118132287 -5.032504945785812 -4.638462845010846 -4.637708730949088 CG9252 del -4.522614783389743 4 1 1 1 1
101017 KK viable 2 -4.2902598224751305 -5.136133604510518 -4.601781194180608 -3.2741340531784595 CG4711 squ -4.325577168586179 4 1 1 1 1
100907 KK viable 2 -4.463118916999795 -5.022051284088002 -4.425880451339991 -3.039058462149717 CG11254 mael -4.237527278644376 4 1 1 1 1
100835 KK viable 2 -4.260951880983171 -4.909085278961032 -4.494393901690917 -3.2734811948253504 CG13190 cuff -4.234478064115118 4 1 1 1 1
105875 KK viable 2 -3.7111706221590746 -4.901314891676817 -4.2204156806116835 -4.017550564137829 CG13741 CG13741 -4.212612939646351 4 1 1 1 1
110430 KK viable 2 -3.5407196977193722 -6.388642684866055 -4.009670073062212 -2.740199392171819 CG12314 zuc -4.169807961954865 4 1 1 1 1
108978 KK viable 2 -4.164612325711537 -5.8750212564102435 -3.744741546770549 -2.796155245523813 CG12721 CG12721 -4.1451325936040355 4 1 1 1 1
13762 GD viable 2 -4.292455388118179 -5.061113047044031 -4.73212021134733 -2.3473987946824306 CG2183 CG2183 -4.108271860297992 4 1 1 1 1
102702 KK viable 2 -4.049651676202008 -4.7459366824183675 -4.221852917680757 -3.3958350789810816 CG9754 CG9754 -4.1033190888205535 4 1 1 1 1
103264 KK viable 2 -3.9532466383447598 -5.214792855651051 -4.10333497124827 -3.0791015115061966 CG8589 tej -4.08761899418757 4 1 1 1 1
101676 KK viable 2 -4.400409338550293 -5.022413595410242 -3.445499360542489 -3.213538817780776 CG4118 nxf2 -4.02046527807095 4 1 1 1 1
101658 KK viable 2 -4.012653316594568 -5.014510545653157 -3.776872717155444 -3.217866231207478 CG6122 piwi -4.005475702652662 4 1 1 1 1
101259 KK viable 2 -4.424449426929702 -4.4477640453392695 -3.296695559086372 -3.7691209560808963 CG10655 l(2)37Bb -3.98450749685906 4 1 1 1 1
8591 GD viable 3 -3.9811873243342997 -5.749102715650073 -4.1492087655627845 -2.0230495459982816 CG10880 CG10880 -3.97563708788636 4 1 1 1 1
104650 KK viable 2 -4.211972223699286 -5.2301588499964655 -3.0649548474819803 -3.1571832296480573 CG6611 ect -3.916067287706447 4 1 1 1 1
106613 KK viable 2 -3.401877407465656 -3.8572525366590695 -4.032511239489514 -4.186603414510957 CG1737 CG1737 -3.8695611495312994 4 1 1 1 1
103913 KK viable 2 -3.8168736633557185 -4.563484703574462 -3.876111763807218 -3.1640501345216636 CG3158 spn-E -3.855130066314765 4 1 1 1 1
100109 KK viable 2 -3.747178023141971 -5.174674707307547 -3.6241919852207785 -2.7244339289320036 CG14438 CG14438 -3.817619661150575 4 1 1 1 1
101620 KK viable 2 -3.4253143568780184 -2.8507283412503 -4.307801616742436 -4.660137622387334 CG10683 rhi -3.8109954843145224 4 1 1 1 1
105832 KK viable 2 -3.6727075762974706 -4.374279835196061 -3.950388454833108 -3.1320054564577586 CG4735 shu -3.7823453306960997 4 1 1 1 1
103589 KK viable 2 -4.199091349309459 -4.480451913889451 -3.930861164293226 -2.2228495055543895 CG11513 armi -3.708313483261631 4 1 1 1 1
103427 KK lethal 2 -3.251794768842715 -4.073124009506871 -3.3618086027563674 -3.9324471168810162 CG43081 vas -3.6547936244967425 4 1 1 1 1
108940 KK viable 2 -4.497638324066027 -4.746400799256966 -4.8775876411235854 -0.18422535095660103 CG7504 CG7504 -3.5764630288507946 3 1 1 1 1
101134 KK viable 2 -3.5086982518385996 -3.6091547571252844 -3.9494546358919904 -3.1592808546294493 CG4771 vret -3.556647124871331 4 1 1 1 1
26171 GD viable 3 -3.5380810936629272 -4.376003281187012 -3.5807204531960477 -2.493209211696375 CG3362 CG3362 -3.4970035099355905 4 1 1 1 1
110598 KK viable 2 -2.957812041892912 -3.121417179360878 -4.0801872425561525 -3.196805707891376 CG5499 His2Av -3.3390555429253297 4 1 1 1 1
106999 KK viable 2 -3.1596181976129545 -3.4793681703083936 -3.525723248259963 -2.4560254961229684 CG6137 aub -3.15518377807607 4 1 1 1 1
103776 KK viable 2 -4.944347341044793 -6.219953927573595 -1.109831369282727 -0.34351258136336 CG4634 Nurf-38 -3.1544113048161186 2 1 1 1 1
